rad,lat,lon,ray_bearing
bks,37.10,-77.95,-40.0
cve,43.27,-120.36,54.0
cvw,43.27,-120.36,-20.0
fhe,38.86,-99.39,45.0
fhw,38.86,-99.39,-25.0
kap,49.39,-82.32,12.0
pgr,53.98,-122.59,-5.0
sas,52.16,-106.53,23.1
wal,37.93,-75.47,35.9
